repo_url,repo_name,chart_path,error
https://github.com/rancher/rancher,rancher/rancher,E:\helm_clones\rancher__rancher\chart,Error: cannot load Chart.yaml: error converting YAML to JSON: yaml: line 4: found character that cannot start any token
https://github.com/labring/sealos,labring/sealos,E:\helm_clones\labring__sealos\deploy\base\higress\v2.1.3\charts\higress,Error: directory E:\helm_clones\labring__sealos\deploy\base\higress\v2.1.3\charts\core not found
https://github.com/refly-ai/refly,refly-ai/refly,E:\helm_clones\refly-ai__refly\deploy\helm\refly-stack,"Error: no repository definition for https://charts.bitnami.com/bitnami, https://charts.bitnami.com/bitnami. Please add the missing repos via 'helm repo add'"
https://github.com/linode/apl-core,linode/apl-core,E:\helm_clones\linode__apl-core\chart\chart-index,Error: the lock file (Chart.lock) is out of sync with the dependencies file (Chart.yaml). Please update the dependencies
https://github.com/cozystack/cozystack,cozystack/cozystack,E:\helm_clones\cozystack__cozystack\packages\apps\bucket,Error: error unpacking subchart cozy-lib in bucket: Chart.yaml file is missing
https://github.com/grafana/helm-charts,grafana/helm-charts,E:\helm_clones\grafana__helm-charts\charts\enterprise-metrics,"Getting updates for unmanaged Helm repositories...
...Successfully got an update from the ""https://helm.min.io/"" chart repository
...Successfully got an update from the ""https://charts.bitnami.com/bitnami"" chart repository
Hang tight while we grab the latest from your chart repositories...
...Successfully got an update from the ""traefik"" chart repository
Update Complete. ⎈Happy Helming!⎈
Error: minio chart not found in repo https://helm.min.io/"
https://github.com/norwoodj/helm-docs,norwoodj/helm-docs,E:\helm_clones\norwoodj__helm-docs\example-charts\custom-template,Error: no repository definition for @stable. Please add them via 'helm repo add'
https://github.com/securitybunker/databunker,securitybunker/databunker,E:\helm_clones\securitybunker__databunker\charts\databunker,"Error: no repository definition for https://charts.bitnami.com/bitnami, https://charts.bitnami.com/bitnami. Please add the missing repos via 'helm repo add'"
https://github.com/rancher/charts,rancher/charts,E:\helm_clones\rancher__charts\charts\epinio\102.0.1+up1.6.2,Error: the lock file (Chart.lock) is out of sync with the dependencies file (Chart.yaml). Please update the dependencies
https://github.com/cloudnativeapp/charts,cloudnativeapp/charts,E:\helm_clones\cloudnativeapp__charts\curated\airflow,"manager.go:122: warning: a valid Helm v3 hash was not found. Checking against Helm v2 hash...
Error: the lock file (requirements.lock) is out of sync with the dependencies file (requirements.yaml). Please update the dependencies"
https://github.com/BigKAA/youtube,BigKAA/youtube,E:\helm_clones\BigKAA__youtube\tracing\for_admins\charts\jaeger\jaeger,"Error: no repository definition for https://charts.helm.sh/incubator, https://helm.elastic.co, https://charts.bitnami.com/bitnami, https://charts.bitnami.com/bitnami. Please add the missing repos via 'helm repo add'"
