repo_url,repo_name,chart_path,error
https://github.com/prometheus-community/helm-charts,prometheus-community/helm-charts,E:\helm_clones_artifacthub\prometheus-community__helm-charts\charts\kube-prometheus-stack,"Error: no repository definition for https://prometheus-community.github.io/helm-charts, https://prometheus-community.github.io/helm-charts, https://grafana-community.github.io/helm-charts, https://prometheus-community.github.io/helm-charts. Please add the missing repos via 'helm repo add'"
https://github.com/argoproj/argo-helm,argoproj/argo-helm,E:\helm_clones_artifacthub\argoproj__argo-helm\charts\argo-cd,Error: no repository definition for https://dandydeveloper.github.io/charts/. Please add the missing repos via 'helm repo add'
https://github.com/bitnami/charts,bitnami/charts,E:\helm_clones_artifacthub\bitnami__charts\bitnami\grafana-loki,"Hang tight while we grab the latest from your chart repositories...
...Successfully got an update from the ""traefik"" chart repository
Update Complete. ⎈Happy Helming!⎈
Saving 6 charts
Downloading grafana-alloy from repo oci://registry-1.docker.io/bitnamicharts
Pulled: registry-1.docker.io/bitnamicharts/grafana-alloy:1.0.7
Digest: sha256:ae23a727fe845affa83689d30d3311f46c80fbcb8a217b435bb61d67c11e98eb
Downloading memcached from repo oci://registry-1.docker.io/bitnamicharts
Pulled: registry-1.docker.io/bitnamicharts/memcached:7.9.7
Digest: sha256:ffb71ea353076658513efe8b46e3f0e6a19653b8b1ca8532f1ba7bb3a490a3e3
Downloading memcached from repo oci://registry-1.docker.io/bitnamicharts
Save error occurred:  could not download oci://registry-1.docker.io/bitnamicharts/memcached: failed to resolve registry-1.docker.io/bitnamicharts/memcached:7.9.7: GET ""https://registry-1.docker.io/v2/bitnamicharts/memcached/manifests/7.9.7"": response status code 429: toomanyrequests: You have reached your unauthenticated pull rate limit. https://www.docker.com/increase-rate-limit
Error: could not download oci://registry-1.docker.io/bitnamicharts/memcached: failed to resolve registry-1.docker.io/bitnamicharts/memcached:7.9.7: GET ""https://registry-1.docker.io/v2/bitnamicharts/memcached/manifests/7.9.7"": response status code 429: toomanyrequests: You have reached your unauthenticated pull rate limit. https://www.docker.com/increase-rate-limit"
https://github.com/kubernetes/dashboard,kubernetes/dashboard,E:\helm_clones_artifacthub\kubernetes__dashboard\charts\kubernetes-dashboard,"Error: no repository definition for https://kubernetes.github.io/ingress-nginx, https://charts.jetstack.io, https://kubernetes-sigs.github.io/metrics-server/, https://charts.konghq.com. Please add the missing repos via 'helm repo add'"
https://github.com/grafana/helm-charts,grafana/helm-charts,E:\helm_clones_artifacthub\grafana__helm-charts\charts\enterprise-logs,"Error: no repository definition for https://grafana.github.io/helm-charts, https://charts.min.io/. Please add the missing repos via 'helm repo add'"
https://github.com/goharbor/harbor,goharbor/harbor,E:\helm_clones_artifacthub\goharbor__harbor\src\pkg\chart\testdata\harbor-schema1,"Getting updates for unmanaged Helm repositories...
...Unable to get an update from the ""https://kubernetes-charts.storage.googleapis.com/"" chart repository:
	failed to fetch https://kubernetes-charts.storage.googleapis.com/index.yaml : 403 Forbidden
...Unable to get an update from the ""https://kubernetes-charts.storage.googleapis.com/"" chart repository:
	failed to fetch https://kubernetes-charts.storage.googleapis.com/index.yaml : 403 Forbidden
Hang tight while we grab the latest from your chart repositories...
...Successfully got an update from the ""traefik"" chart repository
Update Complete. ⎈Happy Helming!⎈
Error: no cached repository for helm-manager-1067d9c6027b8c3f27b49e40521d64be96ea412858d8e45064fa44afd3966ddc found. (try 'helm repo update'): open C:\Users\miabs\AppData\Local\Temp\helm\repository\helm-manager-1067d9c6027b8c3f27b49e40521d64be96ea412858d8e45064fa44afd3966ddc-index.yaml: O sistema não conseguiu localizar o ficheiro especificado."
https://github.com/apache/airflow,apache/airflow,E:\helm_clones_artifacthub\apache__airflow\chart,Error: no repository definition for https://charts.bitnami.com/bitnami. Please add the missing repos via 'helm repo add'
https://github.com/elastic/helm-charts,elastic/helm-charts,E:\helm_clones_artifacthub\elastic__helm-charts\metricbeat,Error: no repository definition for https://prometheus-community.github.io/helm-charts. Please add the missing repos via 'helm repo add'
https://github.com/nextcloud/helm,nextcloud/helm,E:\helm_clones_artifacthub\nextcloud__helm\charts\nextcloud,Error: no repository definition for https://collaboraonline.github.io/online. Please add the missing repos via 'helm repo add'
https://github.com/metallb/metallb,metallb/metallb,E:\helm_clones_artifacthub\metallb__metallb\charts\metallb,Error: no repository definition for https://metallb.github.io/frr-k8s. Please add the missing repos via 'helm repo add'
https://github.com/SonarSource/helm-chart-sonarqube,SonarSource/helm-chart-sonarqube,E:\helm_clones_artifacthub\SonarSource__helm-chart-sonarqube\charts\sonarqube,Error: no repository definition for https://kubernetes.github.io/ingress-nginx. Please add the missing repos via 'helm repo add'
https://github.com/kyverno/kyverno,kyverno/kyverno,E:\helm_clones_artifacthub\kyverno__kyverno\charts\kyverno,"Error: no repository definition for https://kyverno.github.io/api, https://openreports.github.io/reports-api, https://kyverno.github.io/reports-server/. Please add the missing repos via 'helm repo add'"
https://github.com/cloudnative-pg/charts,cloudnative-pg/charts,E:\helm_clones_artifacthub\cloudnative-pg__charts\charts\cloudnative-pg,Error: no repository definition for https://cloudnative-pg.github.io/grafana-dashboards. Please add the missing repos via 'helm repo add'
https://github.com/DataDog/helm-charts,DataDog/helm-charts,E:\helm_clones_artifacthub\DataDog__helm-charts\charts\datadog,"Error: no repository definition for https://helm.datadoghq.com, https://prometheus-community.github.io/helm-charts, https://helm.datadoghq.com, https://helm.datadoghq.com. Please add the missing repos via 'helm repo add'"
https://github.com/oauth2-proxy/manifests,oauth2-proxy/manifests,E:\helm_clones_artifacthub\oauth2-proxy__manifests\helm\oauth2-proxy,Error: no repository definition for https://dandydeveloper.github.io/charts. Please add the missing repos via 'helm repo add'
https://github.com/artifacthub/hub,artifacthub/hub,E:\helm_clones_artifacthub\artifacthub__hub\charts\artifact-hub,"Getting updates for unmanaged Helm repositories...
...Successfully got an update from the ""https://charts.bitnami.com/bitnami"" chart repository
Hang tight while we grab the latest from your chart repositories...
...Successfully got an update from the ""traefik"" chart repository
Update Complete. ⎈Happy Helming!⎈
Saving 1 charts
Downloading postgresql from repo https://charts.bitnami.com/bitnami
Save error occurred:  could not download oci://registry-1.docker.io/bitnamicharts/postgresql: failed to resolve registry-1.docker.io/bitnamicharts/postgresql:18.0.15: GET ""https://registry-1.docker.io/v2/bitnamicharts/postgresql/manifests/18.0.15"": response status code 429: toomanyrequests: You have reached your unauthenticated pull rate limit. https://www.docker.com/increase-rate-limit
Error: could not download oci://registry-1.docker.io/bitnamicharts/postgresql: failed to resolve registry-1.docker.io/bitnamicharts/postgresql:18.0.15: GET ""https://registry-1.docker.io/v2/bitnamicharts/postgresql/manifests/18.0.15"": response status code 429: toomanyrequests: You have reached your unauthenticated pull rate limit. https://www.docker.com/increase-rate-limit"
https://github.com/norwoodj/helm-docs,norwoodj/helm-docs,E:\helm_clones_artifacthub\norwoodj__helm-docs\example-charts\custom-template,Error: no repository definition for @stable. Please add them via 'helm repo add'
https://github.com/community-charts/helm-charts,community-charts/helm-charts,E:\helm_clones_artifacthub\community-charts__helm-charts\charts\kserve,Error: no repository definition for https://charts.jetstack.io. Please add the missing repos via 'helm repo add'
https://github.com/jaegertracing/helm-charts,jaegertracing/helm-charts,E:\helm_clones_artifacthub\jaegertracing__helm-charts\charts\jaeger,Error: no repository definition for https://charts.bitnami.com/bitnami. Please add the missing repos via 'helm repo add'
https://github.com/8gears/n8n-helm-chart,8gears/n8n-helm-chart,E:\helm_clones_artifacthub\8gears__n8n-helm-chart\charts\n8n,Error: no repository definition for https://valkey.io/valkey-helm/. Please add the missing repos via 'helm repo add'
https://github.com/airflow-helm/charts,airflow-helm/charts,E:\helm_clones_artifacthub\airflow-helm__charts\charts\airflow,"Error: no repository definition for https://charts.helm.sh/stable, https://charts.helm.sh/stable. Please add the missing repos via 'helm repo add'"
https://github.com/renovatebot/renovate,renovatebot/renovate,E:\helm_clones_artifacthub\renovatebot__renovate\lib\modules\manager\helmv3\__fixtures__,Error: directory E:\helm_clones_artifacthub\renovatebot__renovate\lib\modules\manager\helmv3\dependency_chart\dask not found
https://github.com/DandyDeveloper/charts,DandyDeveloper/charts,E:\helm_clones_artifacthub\DandyDeveloper__charts\charts\grafana-agent,Error: no repository definition for https://helm.releases.hashicorp.com. Please add the missing repos via 'helm repo add'
https://github.com/rook/rook,rook/rook,E:\helm_clones_artifacthub\rook__rook\deploy\charts\rook-ceph,Error: error unpacking subchart library in rook-ceph: Chart.yaml file is missing
https://github.com/codecentric/helm-charts,codecentric/helm-charts,E:\helm_clones_artifacthub\codecentric__helm-charts\charts\keycloak,Error: no repository definition for https://raw.githubusercontent.com/bitnami/charts/archive-full-index/bitnami. Please add the missing repos via 'helm repo add'
https://github.com/VictoriaMetrics/helm-charts,VictoriaMetrics/helm-charts,E:\helm_clones_artifacthub\VictoriaMetrics__helm-charts\charts\victoria-logs-agent,Error: no repository definition for https://victoriametrics.github.io/helm-charts. Please add the missing repos via 'helm repo add'
https://github.com/backstage/charts,backstage/charts,E:\helm_clones_artifacthub\backstage__charts\charts\backstage,"Hang tight while we grab the latest from your chart repositories...
...Successfully got an update from the ""traefik"" chart repository
Update Complete. ⎈Happy Helming!⎈
Saving 2 charts
Downloading common from repo oci://registry-1.docker.io/bitnamicharts
Save error occurred:  could not download oci://registry-1.docker.io/bitnamicharts/common: failed to resolve registry-1.docker.io/bitnamicharts/common:2.10.0: GET ""https://registry-1.docker.io/v2/bitnamicharts/common/manifests/2.10.0"": response status code 429: toomanyrequests: You have reached your unauthenticated pull rate limit. https://www.docker.com/increase-rate-limit
Error: could not download oci://registry-1.docker.io/bitnamicharts/common: failed to resolve registry-1.docker.io/bitnamicharts/common:2.10.0: GET ""https://registry-1.docker.io/v2/bitnamicharts/common/manifests/2.10.0"": response status code 429: toomanyrequests: You have reached your unauthenticated pull rate limit. https://www.docker.com/increase-rate-limit"
