repo_url,repo_name,chart_path,values_files,helm_command,error_message
https://github.com/ESGF/esgf-helm,ESGF/esgf-helm,cloned\ESGF__esgf-helm,,helm template test cloned\ESGF__esgf-helm,"Error: template: esgf-helm/templates/tds/deployment.yaml:60:34: executing ""esgf-helm/templates/tds/deployment.yaml"" at <include (print $.Template.BasePath ""/auth/secret.yaml"") .>: error calling include: template: esgf-helm/templates/auth/secret.yaml:9:30: executing ""esgf-helm/templates/auth/secret.yaml"" at <index .Values.secrets ""auth-database-password"">: error calling index: index of untyped nil

Use --debug flag to render out invalid YAML
"
https://github.com/ayarinesrine/pfe-deployment,ayarinesrine/pfe-deployment,cloned\ayarinesrine__pfe-deployment\helm-charts\backend\authentification,,helm template test cloned\ayarinesrine__pfe-deployment\helm-charts\backend\authentification,"Error: template: authentification/templates/service.yaml:6:18: executing ""authentification/templates/service.yaml"" at <.Values.service.type>: nil pointer evaluating interface {}.type

Use --debug flag to render out invalid YAML
"
https://github.com/ayarinesrine/pfe-deployment,ayarinesrine/pfe-deployment,cloned\ayarinesrine__pfe-deployment\helm-charts\backend\devis-en-ligne,,helm template test cloned\ayarinesrine__pfe-deployment\helm-charts\backend\devis-en-ligne,"Error: template: devis-en-ligne/templates/service.yaml:6:18: executing ""devis-en-ligne/templates/service.yaml"" at <.Values.service.type>: nil pointer evaluating interface {}.type

Use --debug flag to render out invalid YAML
"
https://github.com/ayarinesrine/pfe-deployment,ayarinesrine/pfe-deployment,cloned\ayarinesrine__pfe-deployment\helm-charts\backend\offre-d-emplois,,helm template test cloned\ayarinesrine__pfe-deployment\helm-charts\backend\offre-d-emplois,"Error: template: offre-d-emplois/templates/service.yaml:6:18: executing ""offre-d-emplois/templates/service.yaml"" at <.Values.service.type>: nil pointer evaluating interface {}.type

Use --debug flag to render out invalid YAML
"
https://github.com/ayarinesrine/pfe-deployment,ayarinesrine/pfe-deployment,cloned\ayarinesrine__pfe-deployment\helm-charts\backend\upload,,helm template test cloned\ayarinesrine__pfe-deployment\helm-charts\backend\upload,"Error: template: upload/templates/service.yaml:6:18: executing ""upload/templates/service.yaml"" at <.Values.service.type>: nil pointer evaluating interface {}.type

Use --debug flag to render out invalid YAML
"
https://github.com/ayarinesrine/pfe-deployment,ayarinesrine/pfe-deployment,cloned\ayarinesrine__pfe-deployment\helm-charts\frontend\dashbord,,helm template test cloned\ayarinesrine__pfe-deployment\helm-charts\frontend\dashbord,"Error: template: dashbord/templates/service.yaml:6:18: executing ""dashbord/templates/service.yaml"" at <.Values.service.type>: nil pointer evaluating interface {}.type

Use --debug flag to render out invalid YAML
"
https://github.com/ayarinesrine/pfe-deployment,ayarinesrine/pfe-deployment,cloned\ayarinesrine__pfe-deployment\helm-charts\frontend\dynamique,,helm template test cloned\ayarinesrine__pfe-deployment\helm-charts\frontend\dynamique,"Error: template: dynamique/templates/service.yaml:6:18: executing ""dynamique/templates/service.yaml"" at <.Values.service.type>: nil pointer evaluating interface {}.type

Use --debug flag to render out invalid YAML
"
https://github.com/ayarinesrine/pfe-deployment,ayarinesrine/pfe-deployment,cloned\ayarinesrine__pfe-deployment\helm-charts\frontend\statique,,helm template test cloned\ayarinesrine__pfe-deployment\helm-charts\frontend\statique,"Error: template: statique/templates/service.yaml:6:18: executing ""statique/templates/service.yaml"" at <.Values.service.type>: nil pointer evaluating interface {}.type

Use --debug flag to render out invalid YAML
"
https://github.com/25th-Night/lion-k8s,25th-Night/lion-k8s,cloned\25th-Night__lion-k8s\lionp,,helm template test cloned\25th-Night__lion-k8s\lionp,"Error: template: lion/templates/django-secret.yaml:7:66: executing ""lion/templates/django-secret.yaml"" at <b64enc>: invalid value; expected string

Use --debug flag to render out invalid YAML
"
https://github.com/sostheim/chart-krak8s-api,sostheim/chart-krak8s-api,cloned\sostheim__chart-krak8s-api\krak8s-api,,helm template test cloned\sostheim__chart-krak8s-api\krak8s-api,"Error: parse error at (krak8s/templates/aws_secrets.yaml:1): unexpected ""="" in operand

Use --debug flag to render out invalid YAML
"
