repo_url,repo_name,chart_path,error
https://github.com/bitnami/charts,bitnami/charts,D:\helm_clones_github\bitnami__charts\bitnami\apache,"Saving 1 charts
Downloading common from repo oci://registry-1.docker.io/bitnamicharts
Save error occurred:  could not download oci://registry-1.docker.io/bitnamicharts/common: failed to perform ""FetchReference"" on source: GET ""https://registry-1.docker.io/v2/bitnamicharts/common/manifests/2.31.4"": response status code 429: toomanyrequests: You have reached your unauthenticated pull rate limit. https://www.docker.com/increase-rate-limit
Error: could not download oci://registry-1.docker.io/bitnamicharts/common: failed to perform ""FetchReference"" on source: GET ""https://registry-1.docker.io/v2/bitnamicharts/common/manifests/2.31.4"": response status code 429: toomanyrequests: You have reached your unauthenticated pull rate limit. https://www.docker.com/increase-rate-limit"
https://github.com/higress-group/higress,higress-group/higress,D:\helm_clones_github\higress-group__higress\helm\core,Error: directory D:\helm_clones_github\higress-group__higress\helm\redis not found
https://github.com/feast-dev/feast,feast-dev/feast,D:\helm_clones_github\feast-dev__feast\infra\charts\feast,"Getting updates for unmanaged Helm repositories...
...Successfully got an update from the ""https://feast-helm-charts.storage.googleapis.com"" chart repository
...Successfully got an update from the ""https://charts.helm.sh/stable"" chart repository
Error: feature-server chart not found in repo https://feast-helm-charts.storage.googleapis.com"
https://github.com/prometheus-community/helm-charts,prometheus-community/helm-charts,D:\helm_clones_github\prometheus-community__helm-charts\charts\prometheus,"Error: no repository definition for https://prometheus-community.github.io/helm-charts, https://prometheus-community.github.io/helm-charts, https://prometheus-community.github.io/helm-charts, https://prometheus-community.github.io/helm-charts. Please add the missing repos via 'helm repo add'"
https://github.com/collabnix/kubelabs,collabnix/kubelabs,D:\helm_clones_github\collabnix__kubelabs\Helm101\Wordpress,Error: cannot load Chart.yaml: error unmarshaling JSON: while decoding JSON: json: cannot unmarshal string into Go struct field Metadata.deprecated of type bool
https://github.com/cozystack/cozystack,cozystack/cozystack,D:\helm_clones_github\cozystack__cozystack\packages\apps\bucket,Error: error unpacking subchart cozy-lib in bucket: Chart.yaml file is missing
https://github.com/grafana/helm-charts,grafana/helm-charts,D:\helm_clones_github\grafana__helm-charts\charts\enterprise-logs,"Error: no repository definition for https://grafana.github.io/helm-charts, https://charts.min.io/. Please add the missing repos via 'helm repo add'"
https://github.com/pluralsh/plural,pluralsh/plural,D:\helm_clones_github\pluralsh__plural\plural\helm\plural,"Error: no repository definition for https://k8s.ory.sh/helm/charts, https://pluralsh.github.io/module-library. Please add the missing repos via 'helm repo add'"
https://github.com/trueforge-org/truecharts,trueforge-org/truecharts,D:\helm_clones_github\trueforge-org__truecharts\charts\stable\kubernetes-dashboard,Error: no repository definition for https://charts.konghq.com. Please add the missing repos via 'helm repo add'
https://github.com/slurm-personal/school-dev-k8s,slurm-personal/school-dev-k8s,D:\helm_clones_github\slurm-personal__school-dev-k8s\practice\18.templating\wordpress,"Error: no repository definition for https://charts.bitnami.com/bitnami, https://charts.bitnami.com/bitnami. Please add the missing repos via 'helm repo add'"
https://github.com/kubeflow/arena,kubeflow/arena,D:\helm_clones_github\kubeflow__arena\arena-artifacts,"Error: no repository definition for @tf-operator, @tf-dashbard, @cron-operator, @et-operator, @mpi-operator, @pytorch-operator, @gpu-exporter, @elastic-job-supervisor. Please add them via 'helm repo add'"
https://github.com/fluxninja/aperture,fluxninja/aperture,D:\helm_clones_github\fluxninja__aperture\manifests\charts\aperture-agent,Error: no repository definition for https://charts.bitnami.com/bitnami. Please add the missing repos via 'helm repo add'
https://github.com/WeBankFinTech/Prophecis,WeBankFinTech/Prophecis,D:\helm_clones_github\WeBankFinTech__Prophecis\install\Prophecis,"Error: cannot load values.yaml: error reading yaml document: invalid Yaml document separator: --END RSA PRIVATE KEY-----"""
https://github.com/rancher/charts,rancher/charts,D:\helm_clones_github\rancher__charts\charts\epinio\102.0.1+up1.6.2,Error: the lock file (Chart.lock) is out of sync with the dependencies file (Chart.yaml). Please update the dependencies with 'helm dependency update'
https://github.com/DataDog/helm-charts,DataDog/helm-charts,D:\helm_clones_github\DataDog__helm-charts\charts\datadog,"Error: no repository definition for https://helm.datadoghq.com, https://prometheus-community.github.io/helm-charts, https://helm.datadoghq.com, https://helm.datadoghq.com. Please add the missing repos via 'helm repo add'"
https://github.com/radondb/radondb-mysql-kubernetes,radondb/radondb-mysql-kubernetes,D:\helm_clones_github\radondb__radondb-mysql-kubernetes\charts\mysql-operator,Error: directory D:\helm_clones_github\radondb__radondb-mysql-kubernetes\charts\mysql-operator\charts\mysqlcluster not found
https://github.com/truenas/charts,truenas/charts,D:\helm_clones_github\truenas__charts\charts\collabora\1.2.30,Error: directory D:\helm_clones_github\truenas__charts\common\2304.0.1 not found
https://github.com/instantlinux/docker-tools,instantlinux/docker-tools,D:\helm_clones_github\instantlinux__docker-tools\images\git-pull\helm,Error: directory D:\helm_clones_github\instantlinux__docker-tools\images\git-pull\chartlib not found
https://github.com/IBM/charts,IBM/charts,D:\helm_clones_github\IBM__charts\community\artifactory-ha,"level=INFO msg=""warning: a valid Helm v3 hash was not found. Checking against Helm v2 hash...""
Error: no repository definition for https://kubernetes-charts.storage.googleapis.com/. Please add the missing repos via 'helm repo add'"
https://github.com/mercedes-benz/DnA,mercedes-benz/DnA,D:\helm_clones_github\mercedes-benz__DnA\deployment\kubernetes\mysql-helm-chart,Error: no repository definition for https://charts.bitnami.com/bitnami. Please add the missing repos via 'helm repo add'
https://github.com/Hydrospheredata/hydro-serving,Hydrospheredata/hydro-serving,D:\helm_clones_github\Hydrospheredata__hydro-serving\helm,Error: cannot load Chart.yaml: error unmarshaling JSON: while decoding JSON: json: cannot unmarshal string into Go value of type v2.Metadata
https://github.com/JahstreetOrg/spark-on-kubernetes-helm,JahstreetOrg/spark-on-kubernetes-helm,D:\helm_clones_github\JahstreetOrg__spark-on-kubernetes-helm\charts\cluster-base,"level=INFO msg=""warning: a valid Helm v3 hash was not found. Checking against Helm v2 hash...""
Error: no repository definition for https://kubernetes.github.io/ingress-nginx, https://charts.jetstack.io, https://charts.helm.sh/stable, https://charts.helm.sh/stable. Please add the missing repos via 'helm repo add'"
https://github.com/osm-seed/osm-seed,osm-seed/osm-seed,D:\helm_clones_github\osm-seed__osm-seed\osm-seed,Error: validation: chart.metadata.version is required
https://github.com/quanxiang-cloud/quanxiang,quanxiang-cloud/quanxiang,D:\helm_clones_github\quanxiang-cloud__quanxiang\deployment\charts\elasticsearch,"Error: no repository definition for https://charts.bitnami.com/bitnami, https://charts.bitnami.com/bitnami. Please add the missing repos via 'helm repo add'"
https://github.com/CenterForOpenScience/helm-charts,CenterForOpenScience/helm-charts,D:\helm_clones_github\CenterForOpenScience__helm-charts\elastic-stack,"level=INFO msg=""warning: a valid Helm v3 hash was not found. Checking against Helm v2 hash...""
Error: no repository definition for https://centerforopenscience.github.io/helm-charts/, https://centerforopenscience.github.io/helm-charts/. Please add the missing repos via 'helm repo add'"
https://github.com/companyinfo/helm-charts,companyinfo/helm-charts,D:\helm_clones_github\companyinfo__helm-charts\charts\helmet\examples\simple,Error: no repository definition for https://charts.companyinfo.dev. Please add the missing repos via 'helm repo add'
https://github.com/rancher/rke2-charts,rancher/rke2-charts,D:\helm_clones_github\rancher__rke2-charts\packages\rke2-cilium-legacy\charts,Error: directory D:\helm_clones_github\rancher__rke2-charts\packages\rke2-cilium-legacy\charts\charts\cilium not found
https://github.com/Obmondo/KubeAid,Obmondo/KubeAid,D:\helm_clones_github\Obmondo__KubeAid\argocd-helm-charts\argo-cd,Error: error unpacking subchart kubeaid-addons in argo-cd: Chart.yaml file is missing
https://github.com/rancher/partner-charts,rancher/partner-charts,D:\helm_clones_github\rancher__partner-charts\charts\amd\amd-gpu\0.10.0,Error: the lock file (Chart.lock) is out of sync with the dependencies file (Chart.yaml). Please update the dependencies with 'helm dependency update'
https://github.com/lianqingsec/NucleiPocGather,lianqingsec/NucleiPocGather,D:\helm_clones_github\lianqingsec__NucleiPocGather\poc\other,"Error: chart file ""signatures_1.yaml"" is larger than the maximum file size 5242880"
https://github.com/elastisys/compliantkubernetes-apps,elastisys/compliantkubernetes-apps,D:\helm_clones_github\elastisys__compliantkubernetes-apps\helmfile.d\upstream\falcosecurity\falco,"Error: no repository definition for https://falcosecurity.github.io/charts, https://falcosecurity.github.io/charts, https://falcosecurity.github.io/charts. Please add the missing repos via 'helm repo add'"
