repo_url,repo_name,chart_path,values_files,helm_command,error_source,error_kind,error_sub_kind,error_message,fix_resolved,fix_stop_reason
https://github.com/rancher/rancher,rancher/rancher,D:\helm_clones_github\rancher__rancher\chart,,,dependency,unknown,unclassified,exit status 1,,
https://github.com/labring/sealos,labring/sealos,D:\helm_clones_github\labring__sealos\frontend\providers\kubepanel\deploy\charts\kubepanel-frontend,D:\helm_clones_github\labring__sealos\frontend\providers\kubepanel\deploy\charts\kubepanel-frontend\kubepanel-frontend-values.yaml,helm template test D:\helm_clones_github\labring__sealos\frontend\providers\kubepanel\deploy\charts\kubepanel-frontend -f D:\helm_clones_github\labring__sealos\frontend\providers\kubepanel\deploy\charts\kubepanel-frontend\kubepanel-frontend-values.yaml,template,template,nil_pointer,"Error: kubepanel-frontend/templates/ingress.yaml:10:55
  executing ""kubepanel-frontend/templates/ingress.yaml"" at <include ""kubepanel-frontend.cloudOrigin"" .>:
    error calling include:
kubepanel-frontend/templates/_helpers.tpl:71:4
  executing ""kubepanel-frontend.cloudOrigin"" at <include ""kubepanel-frontend.scheme"" .>:
    error calling include:
kubepanel-frontend/templates/_helpers.tpl:44:27
  executing ""kubepanel-frontend.scheme"" at <.Values.kubepanelConfig.disableHttps>:
    nil pointer evaluating interface {}.disableHttps

Use --debug flag to render out invalid YAML
",false,unfixable_error_kind
https://github.com/bitnami/charts,bitnami/charts,D:\helm_clones_github\bitnami__charts\bitnami\common,,helm template test D:\helm_clones_github\bitnami__charts\bitnami\common,template,template,library_chart_not_installable,"Error: library charts are not installable
",false,unfixable_error_kind
https://github.com/microsoft/FluidFramework,microsoft/FluidFramework,D:\helm_clones_github\microsoft__FluidFramework\server\routerlicious\kubernetes\routerlicious,,helm template test D:\helm_clones_github\microsoft__FluidFramework\server\routerlicious\kubernetes\routerlicious,template,template,nil_pointer,"Error: routerlicious/templates/scriptorium-deployment.yaml:21:28
  executing ""routerlicious/templates/scriptorium-deployment.yaml"" at <include (print $.Template.BasePath ""/fluid-configmap.yaml"") .>:
    error calling include:
routerlicious/templates/fluid-configmap.yaml:117:39
  executing ""routerlicious/templates/fluid-configmap.yaml"" at <.Values.alfred.api.patchRoot>:
    nil pointer evaluating interface {}.patchRoot

Use --debug flag to render out invalid YAML
",true,
https://github.com/linode/apl-core,linode/apl-core,D:\helm_clones_github\linode__apl-core\chart\chart-index,,,dependency,unknown,unclassified,exit status 1,,
https://github.com/cozystack/cozystack,cozystack/cozystack,D:\helm_clones_github\cozystack__cozystack\packages\apps\bucket,,,dependency,unknown,unclassified,exit status 1,,
https://github.com/grafana/helm-charts,grafana/helm-charts,D:\helm_clones_github\grafana__helm-charts\charts\enterprise-metrics,,,dependency,unknown,unclassified,exit status 1,,
https://github.com/microsoft/mssql-docker,microsoft/mssql-docker,D:\helm_clones_github\microsoft__mssql-docker\linux\rancher,,helm template test D:\helm_clones_github\microsoft__mssql-docker\linux\rancher,template,template,nil_pointer,"Error: sql-server-rancher/templates/secret.yaml:9:32
  executing ""sql-server-rancher/templates/secret.yaml"" at <.Values.mssql.sa.password>:
    nil pointer evaluating interface {}.password

Use --debug flag to render out invalid YAML
",true,
https://github.com/norwoodj/helm-docs,norwoodj/helm-docs,D:\helm_clones_github\norwoodj__helm-docs\example-charts\custom-template,,,dependency,unknown,unclassified,exit status 1,,
https://github.com/securitybunker/databunker,securitybunker/databunker,D:\helm_clones_github\securitybunker__databunker\charts\databunker,,,dependency,unknown,unclassified,exit status 1,,
https://github.com/trueforge-org/truecharts,trueforge-org/truecharts,D:\helm_clones_github\trueforge-org__truecharts\charts\stable\app-template,,helm template test D:\helm_clones_github\trueforge-org__truecharts\charts\stable\app-template,template,template,required_value,"Error: execution error at (app-template/templates/common.yaml:1:3): Service - Expected non-empty [port.port]

Use --debug flag to render out invalid YAML
",false,unfixable_error_kind
