[chain] waiting for phase-1 inventory to complete (Fri Jul 24 02:54:34 WEST 2026)
[chain] inventory complete: 9861 charts. unique images:
charts inventoried : 9861 (9826 ok)
unique images      : 8397
[chain] launching phase-2 CVE scan (Fri Jul 24 03:50:16 WEST 2026)
cve: 8397 unique images, 0 done, 8397 to scan (6 workers)
  10/8397 (3636/h, ETA 2.3h)
  20/8397 (5043/h, ETA 1.7h)
  30/8397 (4448/h, ETA 1.9h)
  40/8397 (4199/h, ETA 2.0h)
  50/8397 (4055/h, ETA 2.1h)
  60/8397 (4157/h, ETA 2.0h)
  70/8397 (4062/h, ETA 2.0h)
  80/8397 (3996/h, ETA 2.1h)
  90/8397 (4068/h, ETA 2.0h)
  100/8397 (4013/h, ETA 2.1h)
  110/8397 (3969/h, ETA 2.1h)
  120/8397 (4025/h, ETA 2.1h)
  130/8397 (3985/h, ETA 2.1h)
  140/8397 (3952/h, ETA 2.1h)
  150/8397 (3997/h, ETA 2.1h)
  160/8397 (3967/h, ETA 2.1h)
  170/8397 (3942/h, ETA 2.1h)
  180/8397 (3979/h, ETA 2.1h)
  190/8397 (3956/h, ETA 2.1h)
  200/8397 (3935/h, ETA 2.1h)
  210/8397 (3916/h, ETA 2.1h)
  220/8397 (3948/h, ETA 2.1h)
  230/8397 (3930/h, ETA 2.1h)
  240/8397 (3914/h, ETA 2.1h)
  250/8397 (3942/h, ETA 2.1h)
  260/8397 (3927/h, ETA 2.1h)
  270/8397 (3913/h, ETA 2.1h)
  280/8397 (3938/h, ETA 2.1h)
  290/8397 (3924/h, ETA 2.1h)
  300/8397 (3912/h, ETA 2.1h)
  310/8397 (3934/h, ETA 2.1h)
  320/8397 (3925/h, ETA 2.1h)
  330/8397 (3913/h, ETA 2.1h)
  340/8397 (3933/h, ETA 2.0h)
  350/8397 (3923/h, ETA 2.1h)
  360/8397 (3911/h, ETA 2.1h)
  370/8397 (3935/h, ETA 2.0h)
  380/8397 (4003/h, ETA 2.0h)
  390/8397 (4022/h, ETA 2.0h)
  400/8397 (4039/h, ETA 2.0h)
  410/8397 (4068/h, ETA 2.0h)
  420/8397 (4097/h, ETA 1.9h)
  430/8397 (4151/h, ETA 1.9h)
  440/8397 (4173/h, ETA 1.9h)
  450/8397 (4189/h, ETA 1.9h)
  460/8397 (4202/h, ETA 1.9h)
  470/8397 (4228/h, ETA 1.9h)
  480/8397 (4275/h, ETA 1.9h)
  490/8397 (4297/h, ETA 1.8h)
  500/8397 (4308/h, ETA 1.8h)
  510/8397 (4329/h, ETA 1.8h)
  520/8397 (4350/h, ETA 1.8h)
  530/8397 (4395/h, ETA 1.8h)
  540/8397 (4418/h, ETA 1.8h)
  550/8397 (4425/h, ETA 1.8h)
  560/8397 (4419/h, ETA 1.8h)
  570/8397 (4448/h, ETA 1.8h)
  580/8397 (4448/h, ETA 1.8h)
  590/8397 (4437/h, ETA 1.8h)
  600/8397 (4460/h, ETA 1.7h)
  610/8397 (4469/h, ETA 1.7h)
  620/8397 (4491/h, ETA 1.7h)
  630/8397 (4501/h, ETA 1.7h)
  640/8397 (4535/h, ETA 1.7h)
  650/8397 (4543/h, ETA 1.7h)
  660/8397 (4546/h, ETA 1.7h)
  670/8397 (4535/h, ETA 1.7h)
  680/8397 (4519/h, ETA 1.7h)
  690/8397 (4522/h, ETA 1.7h)
  700/8397 (4510/h, ETA 1.7h)
  710/8397 (4494/h, ETA 1.7h)
  720/8397 (4481/h, ETA 1.7h)
  730/8397 (4465/h, ETA 1.7h)
  740/8397 (4478/h, ETA 1.7h)
  750/8397 (4491/h, ETA 1.7h)
  760/8397 (4477/h, ETA 1.7h)
  770/8397 (4462/h, ETA 1.7h)
  780/8397 (4465/h, ETA 1.7h)
  790/8397 (4451/h, ETA 1.7h)
  800/8397 (4438/h, ETA 1.7h)
  810/8397 (4442/h, ETA 1.7h)
  820/8397 (4429/h, ETA 1.7h)
  830/8397 (4416/h, ETA 1.7h)
  840/8397 (4420/h, ETA 1.7h)
  850/8397 (4408/h, ETA 1.7h)
  860/8397 (4396/h, ETA 1.7h)
  870/8397 (4384/h, ETA 1.7h)
  880/8397 (4388/h, ETA 1.7h)
  890/8397 (4377/h, ETA 1.7h)
  900/8397 (4366/h, ETA 1.7h)
  910/8397 (4370/h, ETA 1.7h)
  920/8397 (4360/h, ETA 1.7h)
  930/8397 (4349/h, ETA 1.7h)
  940/8397 (4353/h, ETA 1.7h)
  950/8397 (4343/h, ETA 1.7h)
  960/8397 (4334/h, ETA 1.7h)
  970/8397 (4338/h, ETA 1.7h)
  980/8397 (4328/h, ETA 1.7h)
  990/8397 (4319/h, ETA 1.7h)
  1000/8397 (4323/h, ETA 1.7h)
  1010/8397 (4336/h, ETA 1.7h)
  1020/8397 (4347/h, ETA 1.7h)
  1030/8397 (4363/h, ETA 1.7h)
  1040/8397 (4372/h, ETA 1.7h)
  1050/8397 (4384/h, ETA 1.7h)
  1060/8397 (4406/h, ETA 1.7h)
  1070/8397 (4418/h, ETA 1.7h)
  1080/8397 (4425/h, ETA 1.7h)
  1090/8397 (4437/h, ETA 1.6h)
  1100/8397 (4444/h, ETA 1.6h)
  1110/8397 (4470/h, ETA 1.6h)
  1120/8397 (4484/h, ETA 1.6h)
  1130/8397 (4490/h, ETA 1.6h)
  1140/8397 (4496/h, ETA 1.6h)
  1150/8397 (4512/h, ETA 1.6h)
  1160/8397 (4534/h, ETA 1.6h)
  1170/8397 (4532/h, ETA 1.6h)
  1180/8397 (4546/h, ETA 1.6h)
  1190/8397 (4552/h, ETA 1.6h)
  1200/8397 (4558/h, ETA 1.6h)
  1210/8397 (4568/h, ETA 1.6h)
  1220/8397 (4558/h, ETA 1.6h)
  1230/8397 (4558/h, ETA 1.6h)
  1240/8397 (4561/h, ETA 1.6h)
  1250/8397 (4563/h, ETA 1.6h)
  1260/8397 (4553/h, ETA 1.6h)
  1270/8397 (4543/h, ETA 1.6h)
  1280/8397 (4545/h, ETA 1.6h)
  1290/8397 (4536/h, ETA 1.6h)
  1300/8397 (4526/h, ETA 1.6h)
  1310/8397 (4535/h, ETA 1.6h)
  1320/8397 (4537/h, ETA 1.6h)
  1330/8397 (4548/h, ETA 1.6h)
  1340/8397 (4543/h, ETA 1.6h)
  1350/8397 (4544/h, ETA 1.6h)
  1360/8397 (4535/h, ETA 1.6h)
  1370/8397 (4526/h, ETA 1.6h)
  1380/8397 (4518/h, ETA 1.6h)
  1390/8397 (4524/h, ETA 1.5h)
  1400/8397 (4518/h, ETA 1.5h)
  1410/8397 (4521/h, ETA 1.5h)
  1420/8397 (4523/h, ETA 1.5h)
  1430/8397 (4514/h, ETA 1.5h)
  1440/8397 (4506/h, ETA 1.5h)
  1450/8397 (4498/h, ETA 1.5h)
  1460/8397 (4500/h, ETA 1.5h)
  1470/8397 (4506/h, ETA 1.5h)
  1480/8397 (4510/h, ETA 1.5h)
  1490/8397 (4511/h, ETA 1.5h)
  1500/8397 (4507/h, ETA 1.5h)
  1510/8397 (4509/h, ETA 1.5h)
  1520/8397 (4501/h, ETA 1.5h)
  1530/8397 (4505/h, ETA 1.5h)
  1540/8397 (4498/h, ETA 1.5h)
  1550/8397 (4502/h, ETA 1.5h)
  1560/8397 (4494/h, ETA 1.5h)
  1570/8397 (4495/h, ETA 1.5h)
  1580/8397 (4504/h, ETA 1.5h)
  1590/8397 (4519/h, ETA 1.5h)
  1600/8397 (4525/h, ETA 1.5h)
  1610/8397 (4529/h, ETA 1.5h)
  1620/8397 (4537/h, ETA 1.5h)
  1630/8397 (4540/h, ETA 1.5h)
  1640/8397 (4541/h, ETA 1.5h)
  1650/8397 (4534/h, ETA 1.5h)
  1660/8397 (4529/h, ETA 1.5h)
  1670/8397 (4546/h, ETA 1.5h)
  1680/8397 (4573/h, ETA 1.5h)
  1690/8397 (4599/h, ETA 1.5h)
  1700/8397 (4626/h, ETA 1.4h)
  1710/8397 (4653/h, ETA 1.4h)
  1720/8397 (4662/h, ETA 1.4h)
  1730/8397 (4657/h, ETA 1.4h)
  1740/8397 (4657/h, ETA 1.4h)
  1750/8397 (4679/h, ETA 1.4h)
  1760/8397 (4705/h, ETA 1.4h)
  1770/8397 (4721/h, ETA 1.4h)
  1780/8397 (4734/h, ETA 1.4h)
  1790/8397 (4739/h, ETA 1.4h)
  1800/8397 (4748/h, ETA 1.4h)
  1810/8397 (4743/h, ETA 1.4h)
  1820/8397 (4741/h, ETA 1.4h)
  1830/8397 (4741/h, ETA 1.4h)
  1840/8397 (4735/h, ETA 1.4h)
  1850/8397 (4742/h, ETA 1.4h)
  1860/8397 (4746/h, ETA 1.4h)
  1870/8397 (4750/h, ETA 1.4h)
  1880/8397 (4748/h, ETA 1.4h)
  1890/8397 (4743/h, ETA 1.4h)
  1900/8397 (4743/h, ETA 1.4h)
  1910/8397 (4745/h, ETA 1.4h)
  1920/8397 (4747/h, ETA 1.4h)
  1930/8397 (4750/h, ETA 1.4h)
  1940/8397 (4755/h, ETA 1.4h)
  1950/8397 (4767/h, ETA 1.4h)
  1960/8397 (4771/h, ETA 1.3h)
  1970/8397 (4775/h, ETA 1.3h)
  1980/8397 (4776/h, ETA 1.3h)
  1990/8397 (4780/h, ETA 1.3h)
  2000/8397 (4792/h, ETA 1.3h)
  2010/8397 (4794/h, ETA 1.3h)
  2020/8397 (4786/h, ETA 1.3h)
  2030/8397 (4790/h, ETA 1.3h)
  2040/8397 (4791/h, ETA 1.3h)
  2050/8397 (4783/h, ETA 1.3h)
  2060/8397 (4788/h, ETA 1.3h)
  2070/8397 (4780/h, ETA 1.3h)
  2080/8397 (4781/h, ETA 1.3h)
  2090/8397 (4790/h, ETA 1.3h)
  2100/8397 (4790/h, ETA 1.3h)
  2110/8397 (4789/h, ETA 1.3h)
  2120/8397 (4798/h, ETA 1.3h)
  2130/8397 (4797/h, ETA 1.3h)
  2140/8397 (4798/h, ETA 1.3h)
  2150/8397 (4790/h, ETA 1.3h)
  2160/8397 (4801/h, ETA 1.3h)
  2170/8397 (4797/h, ETA 1.3h)
